location,gender,age,pretest_1,pretest_2,posttest_1,posttest_2,w1,w2,w3,w4,code
Macomb,f,72,3.0,7.0,2.0,4.0,28.0,7.0,25.0,25.0,218
Macomb,f,62,5.0,5.0,4.0,7.0,24.0,19.0,21.0,20.0,219
Macomb,f,90,4.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,220
Macomb,f,68,4.0,5.0,4.0,5.0,34.0,7.0,11.0,9.0,221
Macomb,m,60,1.0,6.0,1.0,6.0,5.0,11.0,10.0,7.0,222
Macomb,f,91,1.0,4.0,4.0,7.0,21.0,21.0,13.0,19.0,223
Macomb,m,86,5.0,6.0,5.0,7.0,9.0,12.0,14.0,17.0,224
Macomb,f,74,4.0,6.0,3.5,7.0,9.0,6.0,9.0,12.0,225
Macomb,m,99,5.0,7.0,5.0,7.0,16.0,19.0,19.0,17.0,226
Macomb,m,67,4.0,5.0,5.0,7.0,31.0,15.0,20.0,26.0,228
Peru,f,72,5.0,6.0,5.0,6.0,47.0,42.0,42.0,42.0,185
Macomb,f,60,4.0,7.0,4.0,7.0,122.0,132.0,144.0,146.0,230
Peru,m,73,5.0,7.0,5.0,7.0,20.0,17.0,15.0,12.0,213
Macomb,f,62,2.0,6.0,2.0,7.0,78.0,78.0,49.0,112.0,231
Macomb,f,68,5.0,7.0,5.0,7.0,42.0,29.0,40.0,41.0,232
Macomb,f,72,4.0,6.0,4.0,7.0,28.0,19.0,13.0,15.0,233
Macomb,f,63,4.0,6.0,4.0,7.0,17.0,18.0,18.0,19.0,234
Macomb,f,67,3.0,4.0,4.0,7.0,13.0,12.0,14.0,13.0,235
Macomb,f,67,4.0,7.0,4.0,6.0,25.0,21.0,23.0,15.0,236
Macomb,f,70,3.0,7.0,3.0,7.0,9.0,5.0,9.0,7.0,237
Macomb,f,74,3.0,6.0,3.0,7.0,31.0,19.0,38.0,28.0,238
Macomb,f,66,5.0,5.0,5.0,7.0,34.0,36.0,38.0,40.0,239
Macomb,f,65,4.0,7.0,4.0,7.0,18.0,21.0,15.0,27.0,240
Macomb,f,67,4.0,5.0,2.0,5.0,21.0,19.0,11.0,7.0,214
Macomb,f,74,3.0,7.0,4.0,7.0,74.0,64.0,66.0,66.0,241
